"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"82",82,"comp",59,57,57,71.9298245614035,7,10,10,7,31,29,0,1,6,"3",4.08098038145867,0.474725171193289,0.415340103189119,1.14297937412783,2.0231702521655,-5.02500874064276
"83",83,"comp",57,57,28,53.5714285714286,7,8,7,8,17,18,0,0,25,"3",4.26645158260064,0.545571223306661,0.533649185258472,1.02234059074299,4.12109918420676,-6.36347043597046
"84",84,"comp",58,58,47,2.12765957446809,11,15,14,8,29,22,0,2,3,"1",4.44429453805948,0.444437815734101,0.532088534362069,0.83527042406006,0.110846552912632,-8.11167699176097
"85",85,"comp",48,46,30,63.3333333333333,11,11,9,10,23,19,0,1,12,"3",4.46269766340003,0.173698203962231,0.521508562772066,0.33306874778612,0.889104209793602,0.801677675811736
"86",86,"comp",61,62,54,1.85185185185185,7,8,9,8,26,38,0,0,0,"3",4.46338867798125,0.483755441524081,0.591256653169539,0.818181814835946,3.37114617533343,-8.74653043346388
"87",87,"comp",57,58,34,44.1176470588235,19,13,19,12,29,25,0,2,18,"1",4.23930289139058,0.596419422377271,0.611111111127053,0.975959054773711,5.52501070609625,-3.36814291295792
"88",88,"comp",60,60,56,96.4285714285714,11,14,12,9,18,29,1,5,20,"1",4.6485966517946,0.594452915581419,0.498971056357451,1.19135751063598,6.3279908383188,-7.56849646527456
"89",89,"comp",58,57,20,10,11,8,9,8,14,28,0,0,5,"3",4.40906767372448,0.552801502699068,0.610524956591902,0.905452752963515,4.92696020846156,-7.2140105622742
"90",90,"comp",57,58,32,15.625,7,7,11,8,16,26,1,2,10,"1",4.11500983329879,0.407153412427749,0.496752602106089,0.819630155335946,3.05997450838393e-07,-4.49095240232185
"91",91,"comp",54,58,37,32.4324324324324,7,7,7,8,19,28,0,0,0,"3",4.07983857550478,0.56841590905284,0.611111102746542,0.93013513663585,2.28375724801765,-4.61892296269663
"92",92,"comp",57,56,34,73.5294117647059,10,10,10,8,30,31,1,0,0,"3",4.08931965319568,0.649469924097641,0.542673862139599,1.19679603056056,4.00781367486959,-3.32580041513101
"93",93,"comp",58,57,42,0,9,10,18,8,30,21,0,0,16,"1",4.35707856360952,0.380484568545141,0.706618016444471,0.538458629260044,6.60314758325955,-3.86769401692045
"94",94,"comp",38,45,36,22.2222222222222,15,12,11,10,29,26,7,6,31,"2",4.09880717336374,0.532945475573872,0.483098593951529,1.10318159118332,2.03681483780327,3.3352837092607
"95",95,"comp",62,63,20,45,19,13,14,16,20,28,0,0,0,"1",4.53178159961676,0.600006258964872,0.611111103170074,0.981828436518995,7.42075577692584,-4.63212355819934
"96",96,"comp",62,61,41,7.31707317073171,11,7,12,12,33,32,0,0,18,"1",4.36641691138204,0.569421969250341,0.666957324553195,0.853760725443424,2.03131604620059,-7.65532419595132
"97",97,"comp",55,55,32,0,9,11,7,8,16,23,0,0,24,"3",4.63004281818483,0.448530901791317,0.657389735842512,0.682290698099323,5.8060914686987,-8.23131767429911
"98",98,"comp",56,56,59,0,11,18,14,9,21,25,0,1,19,"1",4.64457735547306,0.41403346867086,0.51930144022705,0.79728927478005,3.19369509605198,-9.90982208204549
"99",99,"comp",56,52,36,5.55555555555556,14,10,9,8,16,39,0,1,29,"3",4.14095896603735,0.5999643667989,0.733289784374832,0.818181815133837,0.137473570708322,-6.54826427665602
