"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma","alpha","beta"
"477",477,"control",59,59,37,0,11,9,10,9,28,24,0,1,18,"3",4.38983758510547,1.43131915209531,0.686298337456232,0.745020814639078,2.88845285202872,-9.11628100088851
"478",478,"control",54,52,33,0,22,20,14,16,25,21,1,13,28,"4",4.193184841214,0.724723416394749,0.389062199613955,0.335661216780794,0.927335124861108,-8.49790165483994
"479",479,"control",54,54,37,2.7027027027027,11,9,7,13,15,19,0,0,1,"1",4.1734024302472,1.10669069484309,0.843066347592129,0.263624347250961,0.0776059624709453,-7.48238351941131
"480",480,"control",50,49,34,17.6470588235294,10,12,13,8,20,29,18,16,21,"2",2.40437544104763,1.47606030030229,1.07440024110652,0.40166005919577,0.0171095419677716,-5.81514224353338
"481",481,"control",57,57,44,0,13,12,12,9,25,20,1,5,22,"1",4.74830616053305,1.57905636544908,0.864577453278924,0.714478912170156,4.6411936814286,-9.35679537236583
"482",482,"control",54,54,20,5,18,19,25,20,29,23,24,10,32,"4",4.40988713726829,0.722740257832675,0.484753425931266,0.237986831901409,1.46590688817115,-9.31090151466407
"483",483,"control",59,62,20,5,7,7,7,8,11,22,0,0,5,"3",4.28753399506816,0.920922177133029,0.711321242740681,0.209600934392348,1.95952683084217,-8.62626375186334
"484",484,"control",53,53,32,12.5,18,17,17,11,32,32,0,2,9,"1",3.75777053673246,1.56887176691497,1.23321054608574,0.33566122082923,0.773451127761322,-6.36610570836579
"485",485,"control",55,55,37,13.5135135135135,14,23,20,14,29,24,22,24,49,"4",4.03693774114574,1.9656962385313,1.63003502218122,0.33566121635008,0.472272457965501,-6.9007956015269
"486",486,"control",57,57,42,11.9047619047619,7,7,17,8,23,24,0,0,13,"3",4.76019502760912,2.16578714782814,1.90205140003332,0.26373574779482,4.89798197638592,-9.12299324522561
"487",487,"control",50,49,59,1.69491525423729,10,10,14,8,19,18,25,21,39,"2",4.3325293048985,0.447442958888569,0.140983967467423,0.306458991421146,0.670701641772438,-8.19591979664938
"488",488,"control",55,57,37,5.40540540540541,10,11,9,9,21,23,0,1,15,"3",4.15568662699201,0.50510383421167,0.299184481191295,0.205919353020375,2.43079906147248,-7.88898749782829
"489",489,"control",55,55,37,0,12,9,7,8,24,22,0,0,4,"3",4.78931355496666,1.53961598790019,0.842283451563196,0.697332536336994,4.82135562215314,-9.34253706105832
"490",490,"control",53,55,40,0,18,9,12,8,29,33,6,8,20,"2",4.27290392243196,1.48391653619595,0.587531406927594,0.896385129268356,0.293443662475272,-9.11688821279395
"491",491,"control",54,53,29,10.3448275862069,17,14,15,16,25,26,0,0,10,"1",4.2275639035744,0.90732942155583,0.553774799019633,0.353554622536197,2.34023151578921,-6.98709526220564
"492",492,"control",54,55,27,11.1111111111111,18,17,16,17,24,18,2,12,26,"4",4.56590323964407,0.869568392647251,0.721437659899082,0.148130732748169,3.90312562603074,-9.16283535514269
"493",493,"control",59,59,34,0,12,14,13,10,27,22,0,3,14,"1",4.78624579337302,1.65200711757709,0.981713710687778,0.670293406889312,4.67876504910137,-9.47593371257274
"494",494,"control",54,56,26,11.5384615384615,7,11,9,11,12,30,0,0,5,"3",3.93019181457253,1.12209248243062,0.868810854546143,0.253281627884477,2.3689910957792,-6.8907073012253
"495",495,"control",58,58,31,9.67741935483871,8,9,11,9,23,30,10,13,27,"2",4.81451233649463,1.22780080263183,1.08151616032252,0.14628464230931,4.22408627990982,-9.88441404753104
"496",496,"control",59,55,29,10.3448275862069,7,8,11,9,33,21,0,14,24,"2",4.23282073693111,1.07350526464742,0.87551691181698,0.19798835283044,1.01302885233594,-8.37758606016855
"497",497,"control",57,54,59,1.69491525423729,7,11,10,9,23,35,1,7,2,"2",4.10264048258567,0.902994722033376,0.553163196301587,0.349831525731789,0.453464981025266,-7.2886697860395
"498",498,"control",53,54,26,7.69230769230769,7,7,7,8,13,43,0,0,0,"3",4.33616840200132,1.29208554800184,1.09956134526424,0.1925242027376,3.66588289309169,-8.35224263482059
"499",499,"control",43,40,51,0,10,18,14,16,29,24,8,4,39,"4",3.98637416359571,1.19916710491152,0.158661972375847,1.04050513253567,0.402197156895044,-6.29505307925784
"500",500,"control",59,60,48,2.08333333333333,7,9,7,8,10,23,1,1,6,"3",4.12916812658652,2.36956894758046,1.64491931179933,0.72464963578113,1.5678141867568,-8.38998223960713
